occupancy,consumption_kwh,orientation,size_wdc,battery_kwh,pv_kwh,pv_over_cons,direct_kwh,exported_kwh,charged_kwh,discharged_kwh,self_consumption_fraction,effective_savings_fraction,savings_usd,savings_usd_if_100pct
away,1700,t90_s,1600,1,1346.0,0.792,468.7,571.1,306.2,275.6,0.5757,0.5529,260,471
away,1700,t90_s,1600,2,1346.0,0.792,468.7,373.0,504.4,453.9,0.7229,0.6854,323,471
away,1700,t35_s,400,0,518.1,0.305,378.5,139.6,0.0,0.0,0.7305,0.7305,132,181
away,1700,t35_s,400,1,518.1,0.305,378.5,1.1,138.6,124.7,0.9979,0.9712,176,181
away,1700,t35_s,400,2,518.1,0.305,378.5,0.0,139.6,125.7,1.0000,0.9731,176,181
away,1700,t35_s,800,0,1036.2,0.610,476.6,559.6,0.0,0.0,0.4600,0.4600,167,363
away,1700,t35_s,800,1,1036.2,0.610,476.6,267.1,292.5,263.3,0.7423,0.7140,259,363
away,1700,t35_s,800,2,1036.2,0.610,476.6,73.4,486.1,437.5,0.9291,0.8822,320,363
away,1700,t35_s,1200,0,1554.3,0.914,522.0,1032.3,0.0,0.0,0.3358,0.3358,183,544
away,1700,t35_s,1200,1,1554.3,0.914,522.0,706.2,326.1,293.5,0.5457,0.5247,285,544
away,1700,t35_s,1200,2,1554.3,0.914,522.0,434.4,597.9,538.1,0.7205,0.6820,371,544
away,1700,t35_s,1600,0,2072.4,1.219,551.2,1521.2,0.0,0.0,0.2660,0.2660,193,725
away,1700,t35_s,1600,1,2072.4,1.219,551.2,1177.5,343.7,309.3,0.4318,0.4152,301,725
away,1700,t35_s,1600,2,2072.4,1.219,551.2,877.5,643.7,579.3,0.5766,0.5455,396,725
away,1700,t60_s,400,0,466.5,0.274,346.9,119.6,0.0,0.0,0.7437,0.7437,121,163
away,1700,t60_s,400,1,466.5,0.274,346.9,1.7,117.8,106.0,0.9963,0.9710,159,163
away,1700,t60_s,400,2,466.5,0.274,346.9,0.0,119.6,107.6,1.0000,0.9744,159,163
away,1700,t60_s,800,0,933.0,0.549,442.5,490.5,0.0,0.0,0.4743,0.4743,155,327
away,1700,t60_s,800,1,933.0,0.549,442.5,214.3,276.2,248.6,0.7703,0.7407,242,327
away,1700,t60_s,800,2,933.0,0.549,442.5,59.2,431.2,388.1,0.9365,0.8903,291,327
away,1700,t60_s,1200,0,1399.5,0.823,488.1,911.3,0.0,0.0,0.3488,0.3488,171,490
away,1700,t60_s,1200,1,1399.5,0.823,488.1,594.9,316.5,284.8,0.5749,0.5523,271,490
away,1700,t60_s,1200,2,1399.5,0.823,488.1,341.5,569.9,512.9,0.7560,0.7153,350,490
away,1700,t60_s,1600,0,1866.0,1.098,516.6,1349.4,0.0,0.0,0.2769,0.2769,181,653
away,1700,t60_s,1600,1,1866.0,1.098,516.6,1014.3,335.1,301.6,0.4564,0.4385,286,653
away,1700,t60_s,1600,2,1866.0,1.098,516.6,727.7,621.6,559.5,0.6100,0.5767,377,653
away,1700,t90_sw,400,0,313.0,0.184,259.8,53.2,0.0,0.0,0.8300,0.8300,91,110
away,1700,t90_sw,400,1,313.0,0.184,259.8,0.1,53.1,47.8,0.9998,0.9828,108,110
away,1700,t90_sw,400,2,313.0,0.184,259.8,0.0,53.2,47.9,1.0000,0.9830,108,110
away,1700,t90_sw,800,0,625.9,0.368,361.8,264.1,0.0,0.0,0.5780,0.5780,127,219
away,1700,t90_sw,800,1,625.9,0.368,361.8,58.4,205.7,185.1,0.9066,0.8738,191,219
